year,id,model,best_acc,mae,mse,rmse,r2,val_loss,sharp_value
2020,50,Attention,0.535,1.61125,6.02625,2.4548421537850453,-0.7568609730243852,1.3348839649787316,-0.006443108983464737
2020,50,CNN,0.39625,1.765,5.9125,2.4315632831575655,-1.1136641910430685,1.4285476299432607,0.28736935443955924
2020,50,GRU,0.355,1.99125,6.94625,2.63557394128869,-1.330038874163959,1.490466337937575,1.2819870400118634
2020,50,preTCN,0.2825,1.2,2.165,1.4713938969562161,0.0,1.758729567894569,1.9407076279379543
2020,50,FuturesNet,0.2825,1.2,2.165,1.4713938969562161,0.0,1.758729567894569,1.9407076279379543
2020,300,Attention,0.464,1.807,6.635,2.5758493744782514,-0.9689882130756842,1.4382315874099731,0.0
2020,300,CNN,0.4225,1.7141666666666666,5.8308333333333335,2.4147118530651506,-1.0158692926138806,1.3968549025686163,0.0
2020,300,GRU,0.464,1.807,6.635,2.5758493744782514,-0.9689882130756842,1.438239574432373,0.0
2020,300,preTCN,0.464,1.807,6.635,2.5758493744782514,-0.9689882130756842,1.4382315874099731,0.0
2020,300,FuturesNet,0.2875,1.95375,6.21875,2.4937421679075005,-1.5894077608063863,1.5108172159928541,0.0
2020,500,Attention,0.364,1.9,6.44,2.5377155080899043,-1.275618374558304,1.5347159206867218,0.0
2020,500,CNN,0.364,1.9,6.44,2.5377155080899043,-1.275618374558304,1.534715972840786,0.0
2020,500,GRU,0.364,1.9,6.44,2.5377155080899043,-1.275618374558304,1.5344190523028374,0.0
2020,500,preTCN,0.364,1.9,6.44,2.5377155080899043,-1.275618374558304,1.534715972840786,0.0
2020,500,FuturesNet,0.364,1.9,6.44,2.5377155080899043,-1.275618374558304,1.534715972840786,0.0
2021,50,Attention,0.41625,1.8575,6.61,2.570992026436488,-1.0919748947188315,1.4439428127728975,0.9520559245372532
2021,50,CNN,0.36,1.87125,6.26625,2.5032478902417954,-1.266542556167631,1.4452617260125966,0.9526041299022553
2021,50,GRU,0.4425,1.77875,6.36125,2.522151859028318,-0.9895702964074651,1.4060166157208955,1.041943534527349
2021,50,preTCN,0.3975,1.7825,6.02,2.453568829277059,-1.117709654794857,1.4250977360285246,0.0
2021,50,FuturesNet,0.37125,1.85625,6.28625,2.507239517876184,-1.2130117300842973,1.4416793309725249,1.1745389963136634
2021,300,Attention,0.41875,1.845,6.5025,2.5500000000000003,-1.0986130273763708,1.4310508324549749,0.9541278279218295
2021,300,CNN,0.37875,1.88375,6.44625,2.5389466319716134,-1.224581583358991,1.4315113379405096,0.9362099005874996
2021,300,GRU,0.46875,1.7075,6.0975,2.4693116449731494,-0.9162815181758006,1.3776774498132558,1.0266019906597152
2021,300,preTCN,0.42125,1.71375,5.79375,2.407020980382182,-1.0280481021506165,1.3972109326949487,0.0
2021,300,FuturesNet,0.3575,1.85875,6.22625,2.495245478905833,-1.241483762349171,1.4539868464836707,0.9901832095147228
2021,500,Attention,0.4175,1.8,6.2725,2.5044959572736385,-1.0684253915910964,1.407345826809223,1.2309963748980148
2021,500,CNN,0.39625,1.9425,6.9075,2.628212320190285,-1.2039160788958885,1.4465666917654185,0.0
2021,500,GRU,0.3275,2.0225,6.825,2.6124700955226263,-1.4958916069930672,1.4892937403458815,0.0
2021,500,preTCN,0.2975,1.97875,6.42875,2.53549797870162,-1.5578936047064644,1.5187372886217558,0.0
2021,500,FuturesNet,0.28875,1.89875,6.01875,2.453314085069419,-1.4937865740797687,1.50545780475323,0.0
2022,50,Attention,0.375,1.9725,6.9575,2.6377073378219955,-1.2686929744293112,1.4632275929817786,0.0
2022,50,CNN,0.44875,1.6825,5.8375,2.416091885669914,-0.941501358427342,1.3845714605771577,1.2069946928688657
2022,50,GRU,0.3225,1.92375,6.34125,2.5181838693788823,-1.4015920666509256,1.477732805105356,0.0
2022,50,preTCN,0.33625,2.00625,6.87125,2.621306925943622,-1.414174546752124,1.4797330636244554,1.6269498926622346
2022,50,FuturesNet,0.40625,1.775,6.09,2.467792535850613,-1.0718690197746121,1.42737222634829,0.0
2022,300,Attention,0.38,1.94875,6.87375,2.6217837439422804,-1.2345494710011948,1.4555547604194055,0.0
2022,300,CNN,0.455,1.64625,5.67625,2.382488195143892,-0.9137011796275742,1.377489841901339,1.252676501250809
2022,300,GRU,0.3375,1.9875,6.785,2.604803255526221,-1.3934299729923385,1.475452945782588,0.0
2022,300,preTCN,0.36875,1.9625,6.8825,2.623451924468981,-1.2706325068302489,1.4565505798046405,1.6954388926425692
2022,300,FuturesNet,0.42125,1.7675,6.115,2.4728526037756478,-1.044505183355588,1.4126917032095103,0.0
2022,500,Attention,0.34375,1.86625,6.13125,2.4761361028828768,-1.3151111743053336,1.5246246319550734,0.9439992203682643
2022,500,CNN,0.2825,1.19125,2.13875,1.4624465802209665,-0.011176275476094233,1.7661419556691096,0.8473798551934618
2022,500,GRU,0.37625,1.84125,6.21625,2.4932408628128973,-1.1996261343273598,1.4637691149344811,0.0
2022,500,preTCN,0.52375,1.57875,5.77875,2.4039030762491236,-0.7584373756377689,1.3396995159295888,0.3092383047399497
2022,500,FuturesNet,0.4175,1.81875,6.38375,2.5266083986245276,-1.075409877703415,1.4247849262677705,0.0
